player_id,player_name,team_name,position,age,nationality,appearances,minutes,goals,assists,shots,shots_on_target,passes,pass_accuracy,tackles,interceptions,duels,duels_won,yellow_cards,red_cards,rating,dribble_attempts,successful_dribbles,dribbled_past,fouls_drawn,crosses,accurate_crosses,long_balls,accurate_long_balls,key_passes,aerials_won,clearances,saves,saves_inside_box,goals_conceded,clean_sheets,penalties_saved
21404384,Jurica Poldrugac,Varaždin,Midfielder,28,Croatia,29.0,1067.0,0.0,2.0,37.0,12.0,279.0,74.19,13.0,5.0,147.0,59.0,4.0,0.0,6.87,33.0,12.0,5.0,25.0,50.0,12.0,22.0,13.0,10.0,6.0,9.0,0.0,0.0,7.0,15.0,0.0
37582788,Vinko Rozic,Istra 1961,Attacker,22,Bosnia and Herzegovina,17.0,1063.0,7.0,1.0,33.0,19.0,277.0,77.62,12.0,5.0,118.0,47.0,2.0,0.0,7.19,30.0,13.0,7.0,16.0,46.0,6.0,16.0,10.0,13.0,8.0,3.0,0.0,0.0,10.0,10.0,0.0
74533,Josip Majic,Šibenik,Attacker,32,Croatia,24.0,1062.0,1.0,2.0,26.0,7.0,482.0,68.46,21.0,13.0,137.0,58.0,5.0,0.0,6.84,36.0,20.0,17.0,14.0,57.0,10.0,82.0,41.0,14.0,11.0,12.0,0.0,0.0,19.0,6.0,0.0
16817975,Martin Slogar,Gorica,Attacker,25,Croatia,25.0,1054.0,4.0,2.0,24.0,9.0,192.0,62.5,20.0,3.0,137.0,55.0,4.0,0.0,6.77,25.0,9.0,6.0,18.0,20.0,5.0,27.0,7.0,6.0,10.0,4.0,0.0,0.0,14.0,5.0,0.0
24817153,Iurie Iovu,Istra 1961,Defender,24,Moldova,14.0,1043.0,0.0,1.0,5.0,0.0,423.0,77.3,31.0,15.0,120.0,79.0,3.0,0.0,6.94,3.0,2.0,2.0,5.0,0.0,0.0,80.0,27.0,4.0,41.0,48.0,0.0,0.0,22.0,2.0,0.0
338593,Stjepan Loncar,Istra 1961,Midfielder,29,Bosnia and Herzegovina,14.0,1043.0,6.0,1.0,17.0,9.0,385.0,81.56,10.0,3.0,73.0,38.0,2.0,0.0,7.38,27.0,17.0,5.0,6.0,49.0,18.0,41.0,24.0,23.0,7.0,9.0,0.0,0.0,8.0,8.0,0.0
37613457,Beyatt Lekoueiry,Istra 1961,Midfielder,21,Mauritania,16.0,1036.0,3.0,5.0,21.0,4.0,274.0,72.26,14.0,5.0,124.0,52.0,4.0,0.0,7.01,28.0,12.0,6.0,20.0,8.0,3.0,27.0,11.0,18.0,6.0,9.0,0.0,0.0,18.0,3.0,0.0
73887,Leonardo Sigali,Lokomotiva Zagreb,Defender,39,Argentina,13.0,1022.0,0.0,0.0,2.0,0.0,539.0,85.9,21.0,16.0,83.0,52.0,3.0,1.0,7.06,2.0,1.0,8.0,14.0,1.0,0.0,86.0,40.0,3.0,17.0,65.0,0.0,0.0,17.0,3.0,0.0
37600601,Marin Prekodravac,Šibenik,Midfielder,21,Croatia,22.0,1012.0,1.0,1.0,14.0,4.0,248.0,70.97,15.0,7.0,99.0,37.0,4.0,0.0,6.6,10.0,2.0,3.0,8.0,2.0,0.0,25.0,9.0,7.0,12.0,21.0,0.0,0.0,25.0,5.0,0.0
1525043,Matej Vuk,Istra 1961,Attacker,26,Croatia,14.0,1010.0,2.0,0.0,29.0,10.0,270.0,70.0,9.0,7.0,102.0,42.0,1.0,0.0,7.11,21.0,7.0,5.0,11.0,40.0,7.0,12.0,4.0,12.0,15.0,12.0,0.0,0.0,6.0,6.0,0.0
