player_id,player_name,team_name,position,age,nationality,appearances,minutes,goals,assists,shots,shots_on_target,passes,pass_accuracy,tackles,interceptions,duels,duels_won,yellow_cards,red_cards,rating,dribble_attempts,successful_dribbles,dribbled_past,fouls_drawn,crosses,accurate_crosses,long_balls,accurate_long_balls,key_passes,aerials_won,clearances,saves,saves_inside_box,goals_conceded,clean_sheets,penalties_saved,goals_per90,assists_per90,shots_per90,shots_on_target_per90,passes_per90,tackles_per90,interceptions_per90,cards_per90,dribble_attempts_per90,successful_dribbles_per90,dribbled_past_per90,fouls_drawn_per90,crosses_per90,accurate_crosses_per90,long_balls_per90,accurate_long_balls_per90,key_passes_per90,aerials_won_per90,clearances_per90,saves_per90,goals_conceded_per90,clean_sheet_rate,shot_accuracy,goal_conversion,pass_accuracy_ratio,duel_success_rate,minutes_per_appearance,goal_contribution_per90,dribble_success_rate,cross_accuracy,long_ball_accuracy
73640,Oliver Zelenika,Varaždin,Goalkeeper,33,Croatia,32.0,2880.0,0.0,0.0,0.0,0.0,967.0,73.84,0.0,0.0,8.0,8.0,2.0,0.0,6.92,0.0,0.0,0.0,5.0,1.0,1.0,413.0,175.0,0.0,4.0,21.0,56.0,40.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,30.21875,0.0,0.0,0.0625,0.0,0.0,0.0,0.15625,0.03125,0.03125,12.90625,5.46875,0.0,0.125,0.65625,1.75,0.5,50.0,0.0,0.0,0.7384000000000001,100.0,90.0,0.0,0.0,100.0,42.3728813559322
183535,Dejan Petrovic,Rijeka,Midfielder,28,Slovenia,34.0,2878.0,1.0,3.0,14.0,5.0,1012.0,79.64,53.0,29.0,235.0,113.0,6.0,0.0,6.97,10.0,4.0,17.0,26.0,15.0,4.0,153.0,78.0,15.0,31.0,47.0,0.0,0.0,21.0,19.0,0.0,0.03127171646977067,0.09381514940931203,0.43780403057678946,0.15635858234885336,31.64697706740792,1.6574009728978458,0.9068797776233496,0.18763029881862406,0.3127171646977067,0.1250868658790827,0.5316191799861014,0.8130646282140376,0.46907574704656013,0.1250868658790827,4.784572619874913,2.4391938846421124,0.46907574704656013,0.9694232105628909,1.4697706740792216,0.0,0.6567060458651841,55.88235294117647,35.714285714285715,7.142857142857143,0.7964,48.08510638297872,84.6470588235294,0.1250868658790827,40.0,26.666666666666668,50.98039215686274
34481476,Roko Jurisic,Osijek,Defender,24,Croatia,33.0,2864.0,3.0,1.0,15.0,6.0,1371.0,79.5,43.0,48.0,242.0,128.0,5.0,0.0,6.98,51.0,20.0,25.0,24.0,50.0,10.0,170.0,72.0,29.0,42.0,71.0,0.0,0.0,47.0,6.0,0.0,0.09427374301675978,0.031424581005586594,0.4713687150837989,0.18854748603351956,43.08310055865922,1.3512569832402235,1.5083798882681565,0.15712290502793297,1.6026536312849162,0.6284916201117319,0.7856145251396648,0.7541899441340782,1.5712290502793296,0.31424581005586594,5.342178770949721,2.2625698324022347,0.9113128491620112,1.3198324022346368,2.231145251396648,0.0,1.4769553072625698,18.181818181818183,40.0,20.0,0.795,52.892561983471076,86.78787878787878,0.12569832402234637,39.21568627450981,20.0,42.35294117647059
74322,Frane Maglica,Varaždin,Defender,29,Croatia,33.0,2827.0,1.0,3.0,7.0,4.0,1057.0,75.88,63.0,28.0,315.0,161.0,2.0,0.0,7.1,69.0,31.0,24.0,19.0,110.0,27.0,126.0,45.0,33.0,47.0,83.0,0.0,0.0,18.0,15.0,0.0,0.0318358684117439,0.09550760523523169,0.2228510788822073,0.1273434736469756,33.6505129112133,2.0056597099398656,0.8914043155288291,0.0636717368234878,2.196674920410329,0.9869119207640609,0.7640608418818535,0.6048814998231341,3.501945525291829,0.8595684471170852,4.011319419879731,1.4326140785284753,1.0505836575875487,1.4962858153519631,2.6423770781747438,0.0,0.5730456314113902,45.45454545454545,57.142857142857146,14.285714285714286,0.7587999999999999,51.111111111111114,85.66666666666667,0.1273434736469756,44.927536231884055,24.545454545454547,35.714285714285715
73090,Tomislav Bozic,Slaven Koprivnica,Defender,38,Croatia,32.0,2814.0,3.0,1.0,18.0,6.0,1374.0,79.99,56.0,31.0,281.0,168.0,7.0,0.0,7.23,6.0,2.0,11.0,9.0,6.0,2.0,282.0,134.0,7.0,104.0,155.0,0.0,0.0,32.0,9.0,0.0,0.09594882729211088,0.031982942430703626,0.5756929637526652,0.19189765458422176,43.94456289978678,1.791044776119403,0.9914712153518124,0.22388059701492538,0.19189765458422176,0.06396588486140725,0.35181236673773986,0.2878464818763326,0.19189765458422176,0.06396588486140725,9.019189765458423,4.285714285714286,0.22388059701492538,3.326226012793177,4.957356076759062,0.0,1.023454157782516,28.125,33.333333333333336,16.666666666666668,0.7998999999999999,59.786476868327405,87.9375,0.1279317697228145,33.333333333333336,33.333333333333336,47.5177304964539
37744101,Agyemang Morrison,Šibenik,Defender,21,,32.0,2790.0,2.0,1.0,18.0,5.0,1282.0,82.68,36.0,24.0,264.0,166.0,5.0,0.0,7.02,3.0,1.0,9.0,28.0,5.0,1.0,208.0,106.0,6.0,101.0,187.0,0.0,0.0,49.0,7.0,0.0,0.06451612903225806,0.03225806451612903,0.5806451612903226,0.16129032258064516,41.354838709677416,1.1612903225806452,0.7741935483870968,0.16129032258064516,0.0967741935483871,0.03225806451612903,0.2903225806451613,0.9032258064516129,0.16129032258064516,0.03225806451612903,6.709677419354839,3.4193548387096775,0.1935483870967742,3.2580645161290325,6.032258064516129,0.0,1.5806451612903225,21.875,27.77777777777778,11.11111111111111,0.8268000000000001,62.878787878787875,87.1875,0.0967741935483871,33.333333333333336,20.0,50.96153846153846
17525250,Kresimir Krizmanic,Gorica,Defender,26,Croatia,32.0,2788.0,2.0,0.0,8.0,3.0,1230.0,83.17,59.0,22.0,231.0,130.0,3.0,0.0,7.03,14.0,6.0,15.0,23.0,17.0,6.0,133.0,46.0,5.0,45.0,152.0,0.0,0.0,36.0,11.0,0.0,0.06456241032998565,0.0,0.2582496413199426,0.09684361549497848,39.705882352941174,1.9045911047345767,0.7101865136298422,0.09684361549497848,0.4519368723098996,0.19368723098995697,0.48421807747489237,0.742467718794835,0.5487804878048781,0.19368723098995697,4.2934002869440455,1.48493543758967,0.16140602582496413,1.4526542324246772,4.90674318507891,0.0,1.1621233859397417,34.375,37.5,25.0,0.8317,56.277056277056275,87.125,0.06456241032998565,42.857142857142854,35.294117647058826,34.58646616541353
75066,Filip Uremovic,Hajduk Split,Defender,29,Croatia,31.0,2780.0,2.0,1.0,14.0,5.0,1552.0,83.83,52.0,45.0,281.0,174.0,10.0,0.0,7.19,12.0,6.0,10.0,17.0,17.0,5.0,203.0,94.0,5.0,102.0,129.0,0.0,0.0,29.0,10.0,0.0,0.06474820143884892,0.03237410071942446,0.45323741007194246,0.1618705035971223,50.24460431654676,1.683453237410072,1.4568345323741008,0.3237410071942446,0.38848920863309355,0.19424460431654678,0.3237410071942446,0.5503597122302158,0.5503597122302158,0.1618705035971223,6.571942446043166,3.0431654676258995,0.1618705035971223,3.302158273381295,4.176258992805756,0.0,0.9388489208633094,32.25806451612903,35.714285714285715,14.285714285714286,0.8382999999999999,61.92170818505338,89.6774193548387,0.09712230215827339,50.0,29.41176470588235,46.30541871921182
73972,Ante Majstorovic,Rijeka,Defender,32,Croatia,32.0,2759.0,0.0,1.0,11.0,4.0,1553.0,81.39,23.0,32.0,213.0,133.0,7.0,0.0,7.11,2.0,2.0,0.0,27.0,4.0,1.0,331.0,131.0,4.0,86.0,137.0,0.0,0.0,19.0,18.0,0.0,0.0,0.032620514679231605,0.35882566147154765,0.13048205871692642,50.659659296846684,0.750271837622327,1.0438564697354114,0.22834360275462123,0.06524102935846321,0.06524102935846321,0.0,0.8807538963392534,0.13048205871692642,0.032620514679231605,10.79739035882566,4.27328742297934,0.13048205871692642,2.805364262413918,4.46901051105473,0.0,0.6197897789054005,56.25,36.36363636363637,0.0,0.8139,62.44131455399061,86.21875,0.032620514679231605,100.0,25.0,39.57703927492447
1525038,Lovro Majkic,Istra 1961,Goalkeeper,26,Croatia,31.0,2751.0,0.0,0.0,0.0,0.0,726.0,63.77,0.0,0.0,19.0,17.0,2.0,0.0,6.86,1.0,1.0,1.0,11.0,1.0,1.0,373.0,116.0,1.0,6.0,22.0,77.0,50.0,32.0,12.0,1.0,0.0,0.0,0.0,0.0,23.75136314067612,0.0,0.0,0.06543075245365322,0.03271537622682661,0.03271537622682661,0.03271537622682661,0.35986913849509267,0.03271537622682661,0.03271537622682661,12.202835332606325,3.7949836423118866,0.03271537622682661,0.19629225736095965,0.7197382769901853,2.519083969465649,1.0468920392584515,38.70967741935484,0.0,0.0,0.6377,89.47368421052632,88.74193548387096,0.0,100.0,100.0,31.099195710455763
